sample_name	isolate_name	year_of_isolation	isolate_from_carriage_or_pyomyositis	pvl_presence_inferred_from_blast
SRR6346955	2012_127	2012	Carriage	0
SRR6346956	COP605	2008	Carriage	0
SRR6346957	2012_157	2012	Carriage	0
SRR6346958	COP2400	2008	Carriage	0
SRR6346959	2012_345	2012	Carriage	0
SRR6346960	COP160	2008	Carriage	1
SRR6346961	PYO1536	2009	Pyomyositis	1
SRR6346962	PYO352	2007	Pyomyositis	1
SRR6346963	2012_788	2012	Carriage	1
SRR6346964	2012_1023	2012	Carriage	0
SRR6346965	COP1167	2008	Carriage	0
SRR6346966	2012_1041	2012	Carriage	0
SRR6346967	COP609	2008	Carriage	0
SRR6346968	COP1660	2008	Carriage	0
SRR6346969	PYO3032	2011	Pyomyositis	1
SRR6346970	2012_830	2012	Carriage	0
SRR6346971	2012_579	2012	Carriage	0
SRR6346972	PYO425	2007	Pyomyositis	1
SRR6346973	2012_970	2012	Carriage	0
SRR6346974	2012_910	2012	Carriage	0
SRR6346975	COP1967	2008	Carriage	0
SRR6346976	COP1272	2008	Carriage	0
SRR6346977	2012_31	2012	Carriage	1
SRR6346978	2012_440	2012	Carriage	0
SRR6346979	COP1249	2008	Carriage	0
SRR6346980	PYO603	2007	Pyomyositis	0
SRR6346981	COP2266	2008	Carriage	0
SRR6346982	COP1882	2008	Carriage	0
SRR6346983	COP2376	2008	Carriage	0
SRR6346984	2012_1012	2012	Carriage	0
SRR6346985	COP2019	2008	Carriage	0
SRR6346986	COP1589	2008	Carriage	1
SRR6346987	COP1413	2008	Carriage	1
SRR6346988	COP2041	2008	Carriage	0
SRR6346989	COP2154	2008	Carriage	0
SRR6346990	PYO891	2008	Pyomyositis	0
SRR6346991	COP1846	2008	Carriage	1
SRR6346992	2012_802	2012	Carriage	1
SRR6346993	PYO4096	2011	Pyomyositis	1
SRR6346994	COP1342	2008	Carriage	1
SRR6346995	2012_266	2012	Carriage	0
SRR6346996	COP2432	2008	Carriage	0
SRR6346997	COP1914	2008	Carriage	0
SRR6346998	PYO596	2007	Pyomyositis	1
SRR6346999	COP2046	2008	Carriage	0
SRR6347000	COP1372	2008	Carriage	0
SRR6347001	COP744	2008	Carriage	0
SRR6347002	2012_670	2012	Carriage	0
SRR6347003	COP2180	2008	Carriage	1
SRR6347004	COP1105	2008	Carriage	0
SRR6347005	2012_934	2012	Carriage	0
SRR6347006	2012_1002	2012	Carriage	0
SRR6347007	COP1019	2008	Carriage	0
SRR6347008	COP442	2008	Carriage	0
SRR6347009	COP469	2008	Carriage	0
SRR6347010	PYO4092	2011	Pyomyositis	1
SRR6347011	COP2233	2008	Carriage	0
SRR6347012	COP2388	2008	Carriage	0
SRR6347013	2012_679	2012	Carriage	0
SRR6347014	PYO751	2007	Pyomyositis	1
SRR6347015	2012_869	2012	Carriage	0
SRR6347016	PYO2994	2011	Pyomyositis	1
SRR6347017	COP295	2008	Carriage	0
SRR6347018	2012_740	2012	Carriage	0
