sample_name	geo_loc_name	Host	isolate	LibrarySelection	LibrarySource	isolation_source	serotype	genotype	strain	majority_hosts
SRR24842956	USA: Minnesota	Accipiter cooperii	A/Cooper's Hawk/Minnesota/22-013128-004/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842957	USA: Minnesota	Bubo virginianus	A/Great Horned Owl/Minnesota/22-013128-003/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842958	USA: Minnesota	Strix varia	A/Barred Owl/Minnesota/22-013128-002/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842959	USA: Minnesota	Bubo virginianus	A/Great Horned Owl/Minnesota/22-013128-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842960	USA: Colorado	Branta canadensis	A/Canada Goose/Colorado/22-013125-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842961	USA: Alaska	Gallus gallus	A/Backyard bird/Alaska/22-013107-002/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24842962	USA: Alaska	Gallus gallus	A/Backyard bird/Alaska/22-013107-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24842963	USA: Nebraska	Gallus gallus	A/Backyard bird/Nebraska/22-013105-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842964	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-010685-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842965	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-013084-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24842966	USA: Wisconsin	Phasianidae sp.	A/Backyard bird/Wisconsin/22-013061-005/2022	RT-PCR	VIRAL RNA	swab	H5N1			NA
SRR24842967	USA: Wisconsin	Phasianidae sp.	A/Backyard bird/Wisconsin/22-013061-004/2022	RT-PCR	VIRAL RNA	swab	H5N1			NA
SRR24842968	USA: Wisconsin	Numididae sp.	A/Backyard bird/Wisconsin/22-013061-003/2022	RT-PCR	VIRAL RNA	swab	H5N1			NA
SRR24842969	USA: Indiana	Haliaeetus leucocephalus	A/Bald Eagle/Indiana/22-013058-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842970	USA: Colorado	Gallus gallus	A/Chicken/Colorado/22-013057-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842971	USA: Montana	Gallus gallus	A/Chicken/Montana/22-013056-002/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842972	USA: Montana	Anas sp.	A/Duck/Montana/22-013055-007/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			NA
SRR24842973	USA: Montana	Anas sp.	A/Duck/Montana/22-013055-006/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			NA
SRR24842974	USA: Florida	Cairina moschata	A/Muscovy Duck/Florida/22-010682-003/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842975	USA: Montana	Cathartidae sp.	A/Vulture/Montana/22-012936-009/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842976	USA: Montana	Gallus gallus	A/Chicken/Montana/22-013053-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			Gallus gallus
SRR24842977	USA: Iowa	Buteo jamaicensis	A/Red-tailed Hawk/Iowa/22-013050-001/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			NA
SRR24842978	USA: Wyoming	Bubo virginianus	A/Great Horned Owl/Wyoming/22-013016-002/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842979	USA: Colorado	Gallus gallus	A/Backyard bird/Colorado/22-010668-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			Gallus gallus
SRR24842980	USA: Florida	Coragyps atratus	A/Black Vulture/Florida/22-012633-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Tracheal	H5N1			NA
SRR24842981	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012578-004/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24842982	USA: Montana	Branta canadensis	A/Canada Goose/Montana/22-012541-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
