sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1624733	1988	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624832	1990	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624833	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624834	1991	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624835	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624838	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624839	1991	LOD	CSF	III	148	17	6	LOD_CSF
ERR1624840	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624844	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624847	1991	LOD	Blood	III	1602	10	1	LOD_Blood
ERR1624848	1991	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624849	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624850	1991	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624851	1991	EOD	Blood	V	19	19	3	EOD_Blood
ERR1624744	1988	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1624852	1991	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1624853	1991	LOD	Blood	Ib	9	10	1	LOD_Blood
ERR1624854	1991	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1624855	1991	LOD	CSF	III	109	17	6	LOD_CSF
ERR1624856	1991	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624857	1991	LOD	Blood	Ib	10	10	1	LOD_Blood
ERR1624859	1991	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624860	1991	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624861	1991	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1624862	1991	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624863	1991	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1624864	1991	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624865	1991	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1624867	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624868	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624869	1992	EOD	CSF	Ib	1589	10	1	EOD_CSF
ERR1624870	1992	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624871	1992	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624746	1988	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624873	1992	EOD	Blood	II	19	19	3	EOD_Blood
ERR1624874	1992	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624875	1992	EOD	Blood	II	2	1	2	EOD_Blood
ERR1624876	1992	EOD	Blood	II	19	19	3	EOD_Blood
ERR1624877	1992	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624878	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624879	1992	EOD	CSF	II	1555	19	3	EOD_CSF
ERR1624880	1992	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624881	1992	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624747	1988	EOD	Blood	V	7	10	1	EOD_Blood
ERR1624882	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624883	1992	LOD	Blood	Ia	2	1	2	LOD_Blood
ERR1624884	1992	EOD	CSF	III	1556	19	3	EOD_CSF
ERR1624885	1992	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624887	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624888	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624889	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624890	1992	LOD	CSF	III	997	19	3	LOD_CSF
ERR1624891	1992	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624748	1988	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624893	1992	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624894	1992	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624895	1992	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624896	1992	EOD	Blood	III	328	19	3	EOD_Blood
ERR1624897	1992	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624898	1992	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624749	1988	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624902	1992	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624903	1992	EOD	Blood	Ia	7	10	1	EOD_Blood
ERR1624904	1992	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624905	1992	EOD	CSF	III	1598	19	3	EOD_CSF
ERR1624907	1992	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624908	1992	LOD	Blood	III	19	19	3	LOD_Blood
ERR1624909	1992	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624910	1992	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624911	1992	LOD	CSF	II	19	19	3	LOD_CSF
ERR1624912	1992	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624913	1993	LOD	Blood	III	19	19	3	LOD_Blood
ERR1624914	1993	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624915	1987	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624916	1987	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624918	1987	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624922	1993	EOD	Blood	III	23	N/D	5	EOD_Blood
ERR1624734	1988	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624753	1989	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624754	1989	LOD	Blood	II	19	19	3	LOD_Blood
ERR1624755	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624756	1989	EOD	CSF	II	28	19	3	EOD_CSF
ERR1624757	1989	LOD	CSF	Ib	1530	10	1	LOD_CSF
ERR1624758	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624761	1989	EOD	CSF	III	27	19	3	EOD_CSF
ERR1624735	1988	EOD	Blood	Ib	6	10	1	EOD_Blood
ERR1624763	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624764	1989	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624765	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624766	1989	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624767	1989	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624768	1989	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624769	1989	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624770	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624771	1989	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624736	1988	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624772	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624774	1989	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624775	1989	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624776	1989	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624778	1989	LOD	CSF	Ib	10	10	1	LOD_CSF
ERR1624779	1989	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624780	1989	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624737	1988	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624782	1989	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624783	1989	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624784	1989	EOD	CSF	V	1	1	2	EOD_CSF
ERR1624785	1989	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624786	1989	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624789	1989	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624790	1989	EOD	CSF	Ib	1603	10	1	EOD_CSF
ERR1624791	1989	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624738	1988	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624792	1989	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624793	1989	EOD	CSF	Ib	12	10	1	EOD_CSF
ERR1624794	1989	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624795	1989	EOD	Blood	III	1137	17	6	EOD_Blood
ERR1624797	1989	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624800	1990	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624802	1990	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624803	1990	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624804	1990	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624805	1990	LOD	Blood	NT	19	19	3	LOD_Blood
ERR1624806	1990	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1624807	1990	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624808	1990	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624810	1990	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624811	1990	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624740	1988	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624812	1990	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624813	1990	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624815	1990	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624817	1990	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624819	1990	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1624820	1990	EOD	Blood	III	27	19	3	EOD_Blood
ERR1624741	1988	EOD	Blood	II	1531	1	2	EOD_Blood
ERR1624823	1987	LOD	CSF	Ia	7	10	1	LOD_CSF
ERR1624824	1987	EOD	CSF	Ib	12	10	1	EOD_CSF
ERR1624825	1987	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624826	1987	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624827	1987	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624828	1990	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1624829	1990	EOD	Blood	II	28	19	3	EOD_Blood
ERR1624831	1990	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624923	1993	LOD	CSF	III	164	19	3	LOD_CSF
ERR1624932	1993	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625022	1995	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625023	1995	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625024	1995	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625025	1995	EOD	Blood	III	1583	19	3	EOD_Blood
ERR1625026	1995	LOD	Blood	III	182	19	3	LOD_Blood
ERR1625027	1995	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625028	1995	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625029	1996	EOD	Blood	II	19	19	3	EOD_Blood
ERR1625030	1996	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625031	1996	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624933	1993	EOD	Blood	II	2	1	2	EOD_Blood
ERR1625032	1996	EOD	Blood	II	19	19	3	EOD_Blood
ERR1625033	1996	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625034	1996	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625036	1996	EOD	CSF	Ia	24	23	4	EOD_CSF
ERR1625037	1996	EOD	CSF	Ib	12	10	1	EOD_CSF
ERR1625039	1996	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625040	1996	LOD	Blood	III	19	19	3	LOD_Blood
ERR1625041	1996	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624934	1993	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625042	1996	EOD	CSF	II	1	1	2	EOD_CSF
ERR1625043	1996	EOD	CSF	III	550	17	6	EOD_CSF
ERR1625044	1996	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625045	1996	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1625047	1996	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1625048	1996	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625049	1996	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625050	1996	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625051	1996	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624935	1993	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625052	1996	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1625053	1996	LOD	CSF	III	148	17	6	LOD_CSF
ERR1625054	1996	EOD	Blood	V	1	1	2	EOD_Blood
ERR1625055	1996	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625056	1996	LOD	CSF	III	148	17	6	LOD_CSF
ERR1625057	1996	EOD	CSF	Ia	24	23	4	EOD_CSF
ERR1625058	1996	LOD	CSF	Ia	24	23	4	LOD_CSF
ERR1625059	1996	EOD	CSF	V	1	1	2	EOD_CSF
ERR1625060	1996	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625061	1996	EOD	CSF	Ib	12	10	1	EOD_CSF
ERR1624936	1993	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625062	1996	LOD	Blood	Ia	24	23	4	LOD_Blood
ERR1625063	1996	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625064	1996	EOD	Blood	II	12	10	1	EOD_Blood
ERR1625066	1996	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625067	1996	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625068	1996	LOD	CSF	III	1604	N/D	5	LOD_CSF
ERR1625069	1996	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625070	1996	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625071	1996	EOD	Blood	II	1605	1	2	EOD_Blood
ERR1624937	1993	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625072	1997	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625075	1997	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1625076	1997	EOD	Blood	V	26	26	5	EOD_Blood
ERR1625077	1997	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1625078	1997	EOD	Blood	III	1532	17	6	EOD_Blood
ERR1625079	1997	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625080	1997	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624938	1993	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625083	1997	EOD	Blood	II	28	19	3	EOD_Blood
ERR1625084	1997	EOD	Blood	III	106	19	3	EOD_Blood
ERR1625085	1997	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625086	1997	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625089	1997	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625090	1997	LOD	Blood	III	19	19	3	LOD_Blood
ERR1625091	1997	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624939	1993	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625092	1997	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625093	1997	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625094	1997	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1625095	1997	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625096	1997	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625097	1997	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625098	1997	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625099	1997	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625100	1997	EOD	Blood	VI	1	1	2	EOD_Blood
ERR1625101	1997	EOD	Blood	III	167	1	2	EOD_Blood
ERR1624940	1993	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625102	1997	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625103	1997	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625105	1987	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625106	1987	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625107	1987	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625108	1987	LOD	CSF	Ib	8	10	1	LOD_CSF
ERR1625109	1987	EOD	CSF	Ib	10	10	1	EOD_CSF
ERR1625110	1987	EOD	CSF	Ib	12	10	1	EOD_CSF
ERR1625111	1987	EOD	CSF	Ib	12	10	1	EOD_CSF
ERR1624941	1993	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625112	1997	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624924	1993	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624942	1993	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624943	1993	EOD	CSF	III	19	19	3	EOD_CSF
ERR1624944	1993	LOD	CSF	Ib	10	10	1	LOD_CSF
ERR1624945	1993	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624946	1993	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624947	1993	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624948	1993	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624949	1993	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624950	1993	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624925	1993	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624952	1993	LOD	CSF	Ia	1534	23	4	LOD_CSF
ERR1624954	1993	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624957	1993	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624959	1994	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624960	1994	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624961	1994	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624926	1993	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624962	1994	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624963	1994	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624964	1994	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1624965	1994	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1624966	1994	EOD	Blood	V	1	1	2	EOD_Blood
ERR1624967	1994	LOD	CSF	III	1606	NT	5	LOD_CSF
ERR1624968	1994	EOD	Blood	III	181	19	3	EOD_Blood
ERR1624969	1994	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624970	1994	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1624971	1994	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624972	1994	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624973	1994	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624974	1994	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624976	1994	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624979	1994	EOD	CSF	III	17	17	6	EOD_CSF
ERR1624980	1994	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624981	1994	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624928	1993	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1624982	1994	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1624983	1994	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624984	1994	LOD	Blood	III	17	17	6	LOD_Blood
ERR1624985	1994	EOD	Blood	II	19	19	3	EOD_Blood
ERR1624986	1995	LOD	CSF	III	547	19	3	LOD_CSF
ERR1624987	1995	EOD	CSF	Ib	9	10	1	EOD_CSF
ERR1624988	1995	EOD	Blood	IV	1553	1	2	EOD_Blood
ERR1624989	1995	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624990	1995	EOD	Blood	Ia	7	10	1	EOD_Blood
ERR1624991	1995	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624992	1995	LOD	CSF	III	19	19	3	LOD_CSF
ERR1624993	1995	EOD	Blood	III	17	17	6	EOD_Blood
ERR1624994	1995	LOD	CSF	III	106	19	3	LOD_CSF
ERR1624995	1995	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624997	1995	EOD	Blood	III	19	19	3	EOD_Blood
ERR1624998	1995	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1624999	1995	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625000	1995	EOD	Blood	Ib	6	10	1	EOD_Blood
ERR1625001	1995	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1624930	1993	EOD	Blood	II	28	19	3	EOD_Blood
ERR1625002	1995	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625003	1995	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1625005	1995	EOD	CSF	Ib	10	10	1	EOD_CSF
ERR1625006	1995	EOD	Blood	II	28	19	3	EOD_Blood
ERR1625007	1995	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625008	1995	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625009	1995	EOD	Blood	V	19	19	3	EOD_Blood
ERR1625010	1987	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625011	1987	LOD	CSF	III	17	17	6	LOD_CSF
ERR1624931	1993	EOD	CSF	III	27	19	3	EOD_CSF
ERR1625012	1987	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625013	1987	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625014	1987	LOD	CSF	III	107	19	3	LOD_CSF
ERR1625015	1987	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625016	1987	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625017	1995	EOD	CSF	III	1607	17	6	EOD_CSF
ERR1625018	1995	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1625019	1995	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625020	1995	EOD	Blood	Ib	6	10	1	EOD_Blood
ERR1625021	1995	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625113	1997	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625122	1998	EOD	CSF	III	27	19	3	EOD_CSF
ERR1625212	1999	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625213	1999	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625214	1999	EOD	Blood	Ia	7	10	1	EOD_Blood
ERR1625215	1999	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625216	1999	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625217	1999	LOD	CSF	III	148	17	6	LOD_CSF
ERR1625218	2000	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625219	2000	EOD	CSF	Ib	536	10	1	EOD_CSF
ERR1625221	2000	EOD	Blood	III	23	N/D	5	EOD_Blood
ERR1625123	1998	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625222	2000	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625223	2000	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625224	2000	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625226	2000	LOD	Blood	III	NT	19	3	LOD_Blood
ERR1625227	2000	LOD	CSF	V	2	1	2	LOD_CSF
ERR1625228	2000	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625229	2000	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625230	2000	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625231	2000	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625124	1998	EOD	Blood	Ia	933	249	5	EOD_Blood
ERR1625232	2000	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625233	2000	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625234	2000	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625235	2000	LOD	Blood	Ia	23	23	4	LOD_Blood
ERR1625236	2000	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1625237	2000	LOD	CSF	III	1584	17	6	LOD_CSF
ERR1625239	2000	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625240	2000	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625125	1998	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625242	2000	LOD	Blood	V	19	19	3	LOD_Blood
ERR1625243	2000	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625244	2000	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625245	2000	EOD	Blood	IV	2	1	2	EOD_Blood
ERR1625246	2000	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625247	2000	EOD	Blood	II	10	10	1	EOD_Blood
ERR1625248	2000	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1625249	2000	EOD	Blood	V	110	19	3	EOD_Blood
ERR1625250	2000	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625251	2000	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625126	1998	EOD	Blood	Ib	8	10	1	EOD_Blood
ERR1625252	2000	EOD	CSF	III	1585	17	6	EOD_CSF
ERR1625253	2000	LOD	CSF	Ia	23	23	4	LOD_CSF
ERR1625254	2000	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625255	2000	EOD	CSF	III	17	17	6	EOD_CSF
ERR1625256	2000	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625257	2000	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625258	2000	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625259	2000	EOD	Blood	IX	130	130	5	EOD_Blood
ERR1625261	2000	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625127	1998	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625262	2000	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625263	2000	EOD	Blood	Ia	1569	10	1	EOD_Blood
ERR1625264	2000	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625265	2000	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625267	2000	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625268	2000	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625269	2000	EOD	CSF	Ia	24	23	4	EOD_CSF
ERR1625270	2000	EOD	Blood	Ib	10	10	1	EOD_Blood
ERR1625271	2000	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625128	1998	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625272	2000	EOD	Blood	II	22	22	5	EOD_Blood
ERR1625273	2001	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625274	2001	EOD	Blood	Ia	1559	1	2	EOD_Blood
ERR1625275	2001	EOD	Blood	IV	10	10	1	EOD_Blood
ERR1625276	2001	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625277	2001	EOD	CSF	III	27	19	3	EOD_CSF
ERR1625278	2001	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625279	2001	LOD	Blood	III	17	17	6	LOD_Blood
