sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1659849	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659850	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659851	2015	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1659854	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659856	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659857	2015	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659858	2015	EOD	Blood	Ib	255	10	1	EOD_Blood
ERR1659697	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659859	2015	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659860	2015	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659861	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659862	2015	EOD	Blood	II	28	19	3	EOD_Blood
ERR1659863	2015	LOD	CSF	III	19	19	3	LOD_CSF
ERR1659864	2015	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659865	2015	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659866	2016	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659867	2016	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659698	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659681	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659699	2013	LOD	CSF	Ia	144	23	4	LOD_CSF
ERR1659700	2013	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1659701	2013	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1659702	2013	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1659703	2013	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659704	2013	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1659705	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659706	2013	EOD	Blood	V	1	1	2	EOD_Blood
ERR1659707	2013	EOD	Blood	V	23	23	4	EOD_Blood
