sample_name	assembly	species	X_FC_resistance	Fluconazole_resistance	Itraconazole_resistance	Voriconazole_resistance	Posaconazole_resistance	Terbinafin_resistance	Caspofungi_resistance	Amphotericin_B_resistance	Total Drug Res	Order	Dipodascales_Fluconazole_resistance	Phaffomycetales_Fluconazole_resistance	Pichiales_Fluconazole_resistance	Saccharomycetales_Fluconazole_resistance	Serinales_Fluconazole_resistance
SRR16989103	yHMPu5000041813_metschnikowia_lunata_180604	Metschnikowia_lunata_CBS5946	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989101	yHMPu5000041814_metschnikowia_noctiluminum_180604.haplomerger2	Metschnikowia_noctiluminum_CBS9907	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989100	yHMPu5000041815_metschnikowia_orientalis_190924	Metschnikowia_orientalis_CBS10331	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988701	yHMPu5000037891_candida_picachoensis_170210.haplomerger2	Metschnikowia_picachoensis_CBS9804	R	R	R	NR	NR	NR	R	R	5	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988702	yHMPu5000037890_candida_pimensis_180604.haplomerger2	Metschnikowia_pimensis_CBS9805	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988839	yHMPu5000041732_metschnikowia_pulcherrima_190924.haplomerger2	Metschnikowia_pulcherrima_CBS5833	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988727	yHMPu5000037865_metschnikowia_reukaufii_180604.haplomerger2	Metschnikowia_reukaufii_CBS5834	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989099	yHMPu5000041817_metschnikowia_shanxiensis_190924.haplomerger2	Metschnikowia_shanxiensis_CBS10359	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988896	yHMPu5000040934_metschnikowia_similis_201018	Metschnikowia_similis_CBS9737	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989111	yHMPu5000041805_metschnikowia_sinensis_190924.haplomerger2	Metschnikowia_sinensis_CBS10357	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989054	yHMPu5000041839_candida_torresii_210210	Metschnikowia_torresii_CBS5152	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989112	yHMPu5000041804_metschnikowia_vanudenii_190924	Metschnikowia_vanudenii_CBS9134	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988729	yHMPu5000037864_metschnikowia_viticola_201018	Metschnikowia_viticola_CBS9950	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989115	yHMPu5000041803_Metschnikowia_zizyphicola_SPADES.haplomerger2	Metschnikowia_zizyphicola_CBS10358	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988730	yHMPu5000037863_metschnikowia_zobellii_190924	Metschnikowia_zobellii_CBS4821	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988762	yHMPu5000035306_candida_elateridarum_180604	Meyerozyma_elateridarum_CBS9842	NR	NR	NR	NR	NR	NR	NR	R	1	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988937	yHMPu5000035663_Meyerozyma_guilliermondii_MASURCA	Meyerozyma_guilliermondii_CBS2030	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974578	yHMPu5000034633_candida_smithsonii_180604	Meyerozyma_smithsonii_CBS9839	NR	R	NR	NR	NR	NR	NR	R	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988750	yHMPu5000035307_millerozyma_farinosa_180604	Millerozyma_farinosa_CBS185	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974499	yHJFW83_myxozyma_geophila_210210	Myxozyma_geophila_CBS7219	R	R	NR	NR	NR	R	NR	NR	3	Lipomycetales	NA	NA	NA	NA	NA
SRR16974270	yHMPu5000034727_myxozyma_kluyveri_210210	Myxozyma_kluyveri_CBS7332	NR	R	NR	NR	NR	NR	R	NR	2	Lipomycetales	NA	NA	NA	NA	NA
SRR16974497	yHJFW85_myxozyma_melbiosi_210210	Myxozyma_melibiosi_CBS2102	R	NR	NR	NR	NR	NR	NR	NR	1	Lipomycetales	NA	NA	NA	NA	NA
SRR16974679	yHDO354_Myxozyma_mucilagina_SPADES	Myxozyma_mucilagina_CBS7071	R	NR	NR	NR	NR	NR	NR	NR	1	Lipomycetales	NA	NA	NA	NA	NA
SRR16974265	yHMPu5000034736_myxozyma_udenii_200128	Myxozyma_udenii_CBS7439	R	R	NR	R	NR	R	R	NR	5	Lipomycetales	NA	NA	NA	NA	NA
SRR16988739	yHMPu5000035308_nadsonia_starkeyi-henricii_180604	Nadsonia_starkeyi-henricii_CBS2159	NR	R	NR	R	NR	NR	NR	NR	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988731	yHMPu5000037862_nakazawaea_anatomiae_170912	Nakazawaea_anatomiae_CBS5547	NR	R	NR	NR	NR	NR	NR	NR	1	Alaninales	NA	NA	NA	NA	NA
