sample_name	ampicillin_RIS	ciprofloxacin_RIS	clindamycin_RIS	daptomycin_RIS	doxycycline_RIS	erythromycin_RIS	gentamicin_RIS	kanamycin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tetracycline_RIS	tigecycline_RIS	vancomycin_RIS
ERR1542091	NA	NA	NA	NA	NA	I/R	NA	NA	NA	NA	NA	I/R	NA	NA	I/R
ERR1542092	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	S	S	I/R
ERR1542093	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	S	S	S	I/R
ERR1542094	I/R	NA	S	NA	NA	I/R	NA	I/R	S	S	NA	I/R	S	S	I/R
ERR1542095	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542096	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542097	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	I/R
ERR1542098	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	I/R
ERR1542099	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	S	I/R	S	S
ERR1542100	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542101	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542103	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	S
ERR1542104	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542105	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542106	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542107	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542108	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542109	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542110	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542111	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542112	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542113	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542114	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542131	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	S
ERR1542132	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	S
ERR1542133	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542134	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542135	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542136	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542138	I/R	NA	S	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542139	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542140	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	S
ERR1542141	S	NA	I/R	NA	NA	I/R	S	S	S	S	S	S	S	S	S
ERR1542143	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542144	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542146	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	S	I/R	S	S
ERR1542147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542148	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542150	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542151	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542152	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542153	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542154	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	I/R	S	I/R
ERR1542155	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542156	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
